,0,1,2,3,4,5,6,7
0,"林偉淑LIN, WEI-SHU",活文學名篇選讀：愛戀與生活,Ａ文學經典學門Ａ,0.0,40.0,30.0,30.0,0
1,"林偉淑LIN, WEI-SHU",活文學名篇選讀：愛戀與生活,Ｂ文學經典學門Ｂ,0.0,40.0,30.0,30.0,0
2,趙衛民CHAO WEI-MIN,活文學名篇選讀：愛戀與生活,Ｃ文學經典學門Ｃ,0.0,0.0,50.0,50.0,0
3,"謝旻琪HSIEH,MIN-CHI",活文學名篇選讀：愛戀與生活,Ｄ文學經典學門Ｄ,10.0,30.0,30.0,30.0,0
4,CHEN TA-TAO,ESELECTED READINGS IN CHINESE LITERATURE : LOVE AND LIFE,"sSDG4  Quality education                         SDG5  Gender equality                           SDG10 Reducing inequalities                     SDG16 Peace, justice and strong institutions",0.0,20.0,40.0,40.0,0
5,"洪婕寧HUNG, CHIEH-NING",活文學名篇選讀：愛戀與生活,Ｆ文學經典學門Ｆ,0.0,0.0,0.0,0.0,0
6,高柏園KAO PO-YUAN,命文學名篇選讀：群己與生命,Ａ文學經典學門Ａ,0.0,20.0,40.0,40.0,0
7,"黃麗卿HUANG, LI-CHING",命文學名篇選讀：群己與生命,Ｂ文學經典學門Ｂ,20.0,20.0,30.0,30.0,0
8,黃文倩HUANG WEN CHIEN,命文學名篇選讀：群己與生命,Ｃ文學經典學門Ｃ,0.0,20.0,40.0,40.0,0
9,黃文倩HUANG WEN CHIEN,命文學名篇選讀：群己與生命,Ｄ文學經典學門Ｄ,0.0,20.0,40.0,40.0,0
10,侯如綺HOU JU-CHI,讀台灣文學選讀,Ａ文學經典學門Ａ,4.0,0.0,0.0,0.0,0
11,"林淑瑩LIN, SHU-YING",讀科幻小說選讀,Ａ文學經典學門Ａ,10.0,20.0,30.0,40.0,0
12,"WU, KAI-SU",EMODERN CLASSICS OF ENGLISH AND AMERICAN LITERATURE,nSDG4  Quality education,0.0,0.0,0.0,0.0,0
13,顧錦芬KU CHIN-FEN,影日本現代小說與電影,Ａ文學經典學門Ａ,0.0,40.0,30.0,30.0,0
14,龔信賢KUNG HSIN-HSIEN,門俄國文學經典入門,Ａ文學經典學門Ａ,0.0,0.0,50.0,50.0,0
15,"李建程LEE, CHIEN-CHENG",化法國文學、生活與文化,Ａ文學經典學門Ａ,10.0,30.0,30.0,30.0,0
16,"林郁嫺LIN, YU-HSIEN",）德語文學名著選讀（二）,Ａ文學經典學門Ａ,0.0,0.0,30.0,70.0,0
17,"廖潤珮LIAO, JUN-PEI",讀法國經典文學導讀,Ａ文學經典學門Ａ,0.0,20.0,30.0,50.0,0
18,林盛彬LIN SHENG-BIN,析西班牙語國家文學名著賞析,Ａ文學經典學門Ａ,0.0,0.0,0.0,0.0,0
19,"陳慧勻CHEN, HUI-YUN",術表演藝術,Ａ藝術欣賞學門Ａ,20.0,30.0,20.0,30.0,0
